_TITLE1 TOTAL INTER INTRA RESTR VDW
ZINC00868996 -26.117 -23.325 0.121 0.000 -32.039
ZINC00868997 -32.283 -24.832 -4.173 0.000 -32.623
ZINC00870504 -24.297 -18.971 -2.065 0.000 -26.728
ZINC00873253 -27.814 -20.126 -4.374 0.000 -30.167
ZINC00874425 -27.558 -20.877 -3.893 0.000 -29.201
ZINC00875411 -24.524 -21.662 -0.261 0.000 -27.126
ZINC00877699 -27.664 -15.646 -8.776 0.000 -26.978
ZINC00877701 -27.358 -17.155 -6.813 0.000 -30.409
ZINC00877703 -23.509 -18.930 -1.183 0.000 -29.562
ZINC00877796 -25.412 -23.046 1.006 0.020 -32.087
ZINC00879345 -26.038 -22.377 -0.560 0.000 -31.188
ZINC00881429 -26.872 -18.211 -5.436 0.000 -27.917
ZINC00881713 -28.755 -22.111 -3.293 0.000 -31.454
ZINC00881717 -28.334 -18.055 -6.933 0.000 -29.560
ZINC00881719 -28.668 -20.839 -4.570 0.000 -28.359
ZINC00881729 -28.841 -20.487 -6.365 0.000 -28.900
ZINC00882544 -25.363 -19.248 -2.984 0.000 -28.133
ZINC00887834 -26.067 -22.601 -0.160 0.000 -33.885
ZINC00887873 -25.796 -17.560 -4.839 0.000 -29.441
ZINC00888853 -29.145 -23.731 -2.169 0.000 -28.299
ZINC00890200 -25.541 -25.459 3.186 0.000 -28.405
ZINC00898713 -25.703 -26.107 3.752 0.000 -28.908
ZINC00898720 -27.198 -26.027 2.072 0.000 -29.313
ZINC00898728 -26.805 -26.375 2.957 0.000 -29.563
ZINC00898735 -22.318 -18.450 -0.639 0.000 -29.304
ZINC00899506 -23.591 -19.573 -2.107 0.000 -28.118
ZINC00905104 -25.558 -22.524 0.157 0.017 -27.528
ZINC00905637 -25.665 -19.787 -2.555 0.000 -29.672
ZINC00905769 -30.007 -25.424 -1.299 0.000 -30.036
ZINC00906268 -28.464 -24.944 -0.182 0.000 -31.672
ZINC00906270 -27.659 -27.985 -0.090 0.000 -32.022
ZINC00906273 -28.402 -20.862 -4.317 0.000 -29.049
ZINC00906274 -28.998 -24.348 -1.294 0.000 -31.906
ZINC00906745 -25.870 -21.331 -1.187 0.000 -32.211
ZINC00907192 -25.512 -19.733 -2.360 0.000 -27.714
ZINC00907204 -27.595 -17.287 -7.075 0.000 -28.283
ZINC00907222 -30.166 -18.582 -8.180 0.000 -27.903
ZINC00907372 -27.366 -24.145 0.197 0.000 -28.436
ZINC00907376 -27.167 -19.879 -3.954 0.000 -28.924
ZINC00907706 -28.099 -18.130 -6.701 0.000 -30.535
ZINC00908237 -26.422 -16.097 -7.117 0.000 -28.715
ZINC00911889 -21.411 -23.764 5.588 0.000 -26.351
ZINC00912438 -25.344 -17.807 -4.257 0.000 -26.103
ZINC00913669 -24.260 -18.594 -2.455 0.000 -28.870
ZINC00914250 -25.977 -22.085 -0.804 0.000 -31.370
ZINC00915795 -23.460 -23.045 -0.716 0.000 -30.184
ZINC00915898 -28.583 -19.777 -9.104 0.000 -26.979
ZINC00916152 -21.604 -22.854 4.177 0.000 -30.108
ZINC00918434 -27.111 -20.468 -3.520 0.000 -27.704
ZINC00918463 -25.522 -20.316 -5.556 0.000 -30.337
ZINC00918635 -24.685 -21.593 0.170 0.000 -27.926
ZINC00918646 -22.228 -20.505 1.424 0.000 -28.366
ZINC00918649 -26.028 -20.587 -2.235 0.000 -27.910
ZINC00918652 -25.098 -20.046 -1.753 0.000 -29.388
ZINC00918893 -30.361 -26.644 -0.328 0.000 -31.441
ZINC00919135 -20.726 -18.720 1.276 0.000 -26.949
ZINC00923589 -25.370 -20.455 -1.673 0.000 -28.143
ZINC00923594 -26.274 -23.042 0.163 0.000 -26.193
ZINC00924626 -29.976 -20.801 -5.753 0.000 -32.536
ZINC00924631 -27.648 -21.070 -3.229 0.000 -28.411
ZINC00925239 -27.482 -23.506 -4.360 0.000 -32.861
ZINC00925245 -26.738 -17.724 -5.775 0.000 -26.786
ZINC00925362 -27.287 -21.777 -2.315 0.000 -27.613
ZINC00925364 -29.225 -18.570 -7.342 0.000 -29.543
ZINC00925375 -27.744 -19.842 -4.650 0.033 -27.662
ZINC00925392 -29.721 -19.437 -6.867 0.000 -27.005
ZINC00925394 -27.285 -18.672 -5.345 0.000 -25.796
ZINC00925395 -25.421 -16.142 -6.021 0.000 -30.434
ZINC00925404 -24.390 -19.348 -1.686 0.000 -28.474
ZINC00925406 -21.511 -21.930 3.628 0.000 -28.006
ZINC00925407 -27.181 -20.381 -3.549 0.000 -26.485
ZINC00925443 -26.875 -20.405 -3.228 0.000 -27.406
ZINC00925444 -26.200 -19.684 -3.235 0.000 -25.815
ZINC00928714 -30.159 -22.335 -5.859 0.000 -30.401
ZINC00928796 -27.269 -19.432 -8.254 0.000 -27.758
ZINC00928798 -31.437 -24.626 -3.389 0.000 -32.401
ZINC00928813 -28.374 -19.725 -5.251 0.000 -30.504
ZINC00928830 -27.950 -20.643 -4.067 0.000 -30.334
ZINC00928846 -26.799 -17.579 -5.884 0.000 -27.172
ZINC00929027 -26.824 -23.931 0.040 0.000 -28.708
ZINC00929234 -25.378 -23.494 1.038 0.000 -30.493
ZINC00929235 -28.366 -20.908 -4.135 0.000 -26.611
ZINC00929358 -24.259 -19.813 -1.184 0.000 -27.191
ZINC00929384 -27.228 -20.355 -3.484 0.000 -27.828
ZINC00929955 -26.577 -23.458 0.229 0.000 -28.266
ZINC00929957 -27.045 -22.185 -1.574 0.000 -30.518
ZINC00930465 -22.508 -18.539 -0.614 0.000 -23.832
ZINC00930466 -24.922 -20.663 -0.937 0.000 -28.404
ZINC00930564 -25.117 -19.745 -2.098 0.000 -29.618
ZINC00930583 -29.555 -19.348 -8.265 0.000 -28.049
ZINC00932940 -29.119 -28.359 2.119 0.000 -32.742
ZINC00933050 -31.200 -26.556 -1.586 0.000 -34.483
ZINC00933324 -23.934 -24.962 4.161 0.000 -29.749
ZINC00933464 -22.282 -13.935 -5.026 0.000 -25.450
ZINC00933943 -25.991 -20.827 -1.825 0.000 -30.226
ZINC00933999 -24.977 -26.017 4.331 0.000 -32.743
ZINC00934003 -25.308 -22.448 0.408 0.000 -30.551
ZINC00934006 -27.425 -25.748 1.699 0.000 -34.687
ZINC00934007 -30.686 -32.476 4.856 0.000 -33.045
ZINC00934021 -31.583 -27.298 -1.127 0.000 -32.598
ZINC00934023 -28.029 -26.962 2.324 0.000 -33.839
ZINC00935686 -24.589 -21.432 0.176 0.000 -33.977
ZINC00937492 -24.598 -26.175 0.299 0.000 -32.536
ZINC00938628 -24.698 -19.108 -2.239 0.000 -27.489
ZINC00938868 -28.639 -25.492 -0.252 0.000 -29.867
ZINC00942851 -21.837 -20.680 2.239 0.000 -26.790
ZINC00943705 -23.904 -21.409 0.700 0.000 -26.574
ZINC00944190 -26.110 -22.843 0.086 0.000 -27.864
ZINC00958045 -26.377 -23.201 0.163 0.000 -30.984
